show_title,season_title,category,max_weeks,best_rank,entry_rank,tmdb_id,tmdb_rating,tmdb_vote_count,tmdb_popularity,genres,original_language,runtime_minutes,days_since_release,is_korean,is_sequel,budget_usd,avg_cast_popularity,first_week,is_breakout,lang_label
Pororo and Friends: Virus Busters,,Films,1,9,9,1039470.0,10.0,1.0,0.3046,Animation|Family|Adventure|Fantasy|Science Fiction,ko,63.0,395.0,1,0,0.0,1.11,2023-12-31,0,Korean
"Pororo, Dragon Castle Adventure",,Films,2,7,7,979688.0,7.4,7.0,0.4607,Animation|Family|Adventure|Fantasy,ko,69.0,500.0,1,0,70.0,1.17,2023-12-10,0,Korean
"Pororo, The Racing Adventure",,Films,1,10,10,226673.0,5.4,11.0,0.6416,Animation,ko,77.0,3675.0,1,0,0.0,1.01,2023-12-10,0,Korean
Pororo: Underwater Adventure,,Films,4,6,8,1290773.0,0.0,0.0,0.3543,Animation|Family|Adventure|Fantasy,ko,71.0,200.0,1,0,0.0,1.11,2025-07-20,1,Korean
Positively Yours,Positively Yours: Season 1,TV,2,8,9,296009.0,9.0,3.0,10.1878,Comedy|Family|Drama,ko,,8.0,1,0,,1.57,2026-01-25,0,Korean
Premium Rush,,Films,1,7,7,49526.0,6.335,2242.0,2.7187,Crime|Action|Thriller,en,91.0,4062.0,0,0,35000000.0,3.16,2023-10-08,0,English
Pretty Crazy,,Films,6,1,9,873797.0,7.093,27.0,3.8022,Romance|Comedy|Mystery,ko,113.0,109.0,1,0,0.0,1.98,2025-11-30,1,Korean
Princess Aurora,,Films,1,6,6,38054.0,5.951,51.0,0.7815,Crime|Drama|Mystery,ko,106.0,6786.0,1,0,0.0,1.29,2024-05-26,0,Korean
Pro Bono,Pro Bono: Limited Series,TV,6,3,7,284744.0,8.192,26.0,7.6537,Comedy|Drama,ko,,8.0,1,0,,1.54,2025-12-14,1,Korean
Project Wolf Hunting,,Films,5,1,9,799379.0,6.418,422.0,4.2325,Action|Thriller|Horror|Crime,ko,122.0,249.0,1,0,9000000.0,1.94,2023-05-28,1,Korean
