show_title,season_title,category,lang_label,total_weeks,first_week,last_week,entry_rank,best_rank,exit_rank,avg_rank,max_cumulative
Korean Fried Chicken Rhapsody,Korean Fried Chicken Rhapsody: Season 1,TV,Korean,2,2024-06-02,2024-06-09,10,8,8,9.0,2
Last Love,Last Love: Season 1,TV,Japanese,4,2024-08-18,2024-09-08,6,6,8,6.75,4
Last Samurai Standing,Last Samurai Standing: Season 1,TV,Japanese,2,2025-11-16,2025-11-23,8,8,8,8.0,2
Last Summer,Last Summer: Season 1,TV,Other,4,2025-11-09,2025-11-16,6,6,10,8.0,2
Lies Hidden in my Garden,Lies Hidden in my Garden: Limited Series,TV,Korean,5,2023-06-25,2023-07-23,1,1,6,2.8,5
Like Flowers in Sand,Like Flowers in Sand: Limited Series,TV,Korean,3,2023-12-24,2024-01-07,9,6,7,7.333333333333333,3
Longing for You,Longing for You: Limited Series,TV,Korean,4,2023-08-06,2023-08-27,6,6,8,7.0,4
Love After Divorce,Love After Divorce: Season 4,TV,Korean,10,2023-07-30,2023-10-01,2,2,10,7.3,10
Love After Divorce,Love After Divorce: Season 5,TV,Korean,9,2024-05-12,2024-07-07,4,4,9,5.888888888888889,9
Love After Divorce,Love After Divorce: Season 6,TV,Korean,7,2024-09-15,2024-11-03,4,4,10,6.571428571428571,7
Love After Divorce,Love After Divorce: Season 7,TV,Korean,5,2025-07-27,2025-08-24,3,3,8,5.6,5
Love Me,Love Me: Season 1,TV,English,5,2025-12-21,2026-01-18,10,7,10,8.6,5
Love Next Door,Love Next Door: Limited Series,TV,Korean,9,2024-08-18,2024-10-13,4,2,8,3.2222222222222223,9
Love Scout,Love Scout: Season 1,TV,Korean,8,2025-01-05,2025-02-23,5,2,8,3.75,8
Love to Hate You,Love to Hate You: Season 1,TV,Korean,3,2023-03-05,2023-03-19,9,9,10,9.666666666666666,5
Marry YOU,Marry YOU: Limited Series,TV,Korean,2,2024-11-24,2024-12-01,10,9,9,9.5,2
Mask Girl,Mask Girl: Limited Series,TV,Korean,8,2023-08-20,2023-10-08,1,1,10,4.0,8
Melo Movie,Melo Movie: Limited Series,TV,Korean,5,2025-02-16,2025-03-16,2,1,8,4.0,5
Mercy For None,Mercy For None: Limited Series,TV,Korean,6,2025-06-08,2025-07-13,1,1,9,3.5,6
Military Prosecutor Doberman,Military Prosecutor Doberman: Limited Series,TV,Korean,2,2024-05-05,2024-05-12,7,7,8,7.5,2
Miraculous Brothers,Miraculous Brothers: Season 1,TV,Korean,2,2023-09-17,2023-09-24,8,8,10,9.0,2
Miss Night and Day,Miss Night and Day: Limited Series,TV,Korean,10,2024-06-16,2024-08-18,5,1,9,3.1,10
Moo No Plan,Moo No Plan: Season 1,TV,Korean,4,2024-02-25,2024-03-17,5,5,9,8.0,4
Mr. Plankton,Mr. Plankton: Limited Series,TV,Korean,6,2024-11-10,2024-12-15,6,1,10,5.5,6
Mr. Queen,Mr. Queen: Limited Series,TV,Korean,7,2023-03-05,2023-04-16,2,2,10,6.0,9
Mr. Sunshine,Mr. Sunshine: Season 1,TV,Korean,6,2023-03-05,2023-04-23,10,8,10,8.833333333333334,23
Music Adventure by Accident,Music Adventure by Accident: Season 1,TV,Korean,4,2024-08-25,2024-09-15,5,4,10,6.25,4
My Demon,My Demon: Limited Series,TV,Korean,10,2023-11-26,2024-01-28,3,3,8,4.6,10
My Grumpy Secretary,My Grumpy Secretary 2025,TV,Korean,8,2025-10-05,2025-11-23,10,3,10,6.875,8
My Happy Ending,My Happy Ending: Season 1,TV,Korean,6,2024-01-07,2024-02-11,4,4,8,5.333333333333333,6
My Happy Marriage,My Happy Marriage: Season 1,TV,Japanese,12,2023-07-23,2023-08-27,8,7,10,8.666666666666666,6
My SL Partner,My SL Partner: Season 1,TV,Korean,5,2023-06-25,2023-07-23,6,6,9,7.4,5
My Sweet Mobster,My Sweet Mobster: Season 1,TV,Korean,3,2024-08-25,2024-09-08,10,9,10,9.666666666666666,3
Night Has Come,Night Has Come: Limited Series,TV,Korean,4,2023-12-10,2023-12-31,4,4,7,5.25,4
No Mercy,No Mercy: Season 1,TV,Korean,4,2026-01-04,2026-01-11,4,4,9,6.5,2
No Tail to Tell,No Tail to Tell: Limited Series,TV,Korean,4,2026-01-18,2026-02-08,3,3,7,4.5,4
ONE PIECE,ONE PIECE: Season 1,TV,English,3,2023-09-03,2023-09-17,6,4,6,5.333333333333333,3
Oh My Ghost Clients,Oh My Ghost Clients: Season 1,TV,Korean,6,2025-06-01,2025-07-06,3,3,4,3.8333333333333335,6
Our Unwritten Seoul,Our Unwritten Seoul: Limited Series,TV,Korean,8,2025-06-01,2025-07-20,1,1,9,3.875,8
Paik's Les Misérables,Paik's Les Misérables: Season 1,TV,Korean,4,2024-12-08,2024-12-29,5,5,10,7.0,4
Parasyte: The Grey,Parasyte: The Grey: Limited Series,TV,Korean,6,2024-04-07,2024-05-12,1,1,10,3.5,6
Parole Examiner Lee,Parole Examiner Lee: Limited Series,TV,Korean,6,2024-11-24,2024-12-29,1,1,7,4.166666666666667,6
Perfect Marriage Revenge,Perfect Marriage Revenge: Limited Series,TV,Korean,4,2023-11-05,2023-11-26,8,6,9,7.75,4
Physical: 100,Physical: 100: Season 2,TV,Korean,5,2024-03-24,2024-04-21,1,1,6,3.2,5
Physical: Asia,Physical: Asia: Season 1,TV,Korean,4,2025-11-02,2025-11-23,2,2,4,3.25,4
Positively Yours,Positively Yours: Season 1,TV,Korean,2,2026-01-25,2026-02-01,8,8,9,8.5,2
Pro Bono,Pro Bono: Limited Series,TV,Korean,6,2025-12-14,2026-01-18,3,3,7,5.166666666666667,6
Queen Mantis,Queen Mantis: Season 1,TV,Korean,6,2025-09-07,2025-10-12,2,1,9,3.1666666666666665,6
Queen of Divorce,Queen of Divorce: Season 1,TV,Korean,3,2024-06-16,2024-06-30,10,5,9,8.0,3
Queen of Masks,Queen of Masks: Season 1,TV,Korean,8,2023-04-30,2023-06-18,9,5,9,6.75,8
Queen of Tears,Queen of Tears: Limited Series,TV,Korean,13,2024-03-10,2024-06-02,2,1,9,3.230769230769231,13
Queenmaker,Queenmaker: Season 1,TV,Korean,6,2023-04-16,2023-05-21,1,1,8,3.0,6
Red Balloon,Red Balloon: Season 1,TV,Other,2,2023-03-05,2023-03-12,3,3,7,5.0,10
Resident Playbook,Resident Playbook: Limited Series,TV,Korean,9,2025-04-13,2025-06-08,5,1,9,4.111111111111111,9
Risqué Business: Japan,Risqué Business: Japan: Season 1,TV,Korean,2,2023-04-30,2023-05-07,4,4,9,6.5,2
Risqué Business: The Netherlands and Germany,Risqué Business: The Netherlands and Germany: Season 1,TV,Korean,2,2024-02-25,2024-03-03,2,2,5,3.5,2
Romance in the House,Romance in the House: Limited Series,TV,Korean,7,2024-08-11,2024-09-22,6,2,7,4.857142857142857,7
Romantics Anonymous,Romantics Anonymous: Season 1,TV,Japanese,3,2025-10-19,2025-11-02,7,6,10,7.666666666666667,3
