country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,language
South Korea,KR,2026-01-25,TV,8,Positively Yours,Positively Yours: Season 1,1,English
South Korea,KR,2026-01-25,TV,9,Culinary Class Wars,Culinary Class Wars: Season 2,6,English
South Korea,KR,2026-01-25,TV,10,Hell's Paradise: Jigokuraku,Hell's Paradise: Jigokuraku: Season 2,1,English
South Korea,KR,2026-01-18,Films,1,The Ugly,,2,English
South Korea,KR,2026-01-18,Films,2,The Rip,,1,English
South Korea,KR,2026-01-18,Films,3,Homeward Bound,,1,English
South Korea,KR,2026-01-18,Films,4,The Great Flood,,5,English
South Korea,KR,2026-01-18,Films,5,People We Meet on Vacation,,1,English
South Korea,KR,2026-01-18,Films,6,Missing You,,1,English
South Korea,KR,2026-01-18,Films,7,Your Letter,,2,English
South Korea,KR,2026-01-18,Films,8,KPop Demon Hunters,,31,English
South Korea,KR,2026-01-18,Films,9,The Net,,1,English
South Korea,KR,2026-01-18,Films,10,Murder Report,,6,English
South Korea,KR,2026-01-18,TV,1,Can This Love Be Translated?,Can This Love Be Translated?: Limited Series,1,English
South Korea,KR,2026-01-18,TV,2,Culinary Class Wars,Culinary Class Wars: Season 2,5,English
South Korea,KR,2026-01-18,TV,3,No Tail to Tell,No Tail to Tell: Limited Series,1,English
South Korea,KR,2026-01-18,TV,4,To My Beloved Thief,To My Beloved Thief: Season 1,2,English
South Korea,KR,2026-01-18,TV,5,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,2,English
South Korea,KR,2026-01-18,TV,6,Taxi Driver,Taxi Driver: Season 3,9,English
South Korea,KR,2026-01-18,TV,7,Pro Bono,Pro Bono: Limited Series,6,English
South Korea,KR,2026-01-18,TV,8,Match To Marry: With Parents,Match To Marry: With Parents 2026,2,English
South Korea,KR,2026-01-18,TV,9,Undercover Miss Hong,Undercover Miss Hong: Limited Series,1,English
South Korea,KR,2026-01-18,TV,10,Love Me,Love Me: Season 1,5,English
South Korea,KR,2026-01-11,Films,1,The Ugly,,1,English
South Korea,KR,2026-01-11,Films,2,Your Letter,,1,English
South Korea,KR,2026-01-11,Films,3,The Great Flood,,4,English
South Korea,KR,2026-01-11,Films,4,Togo,,2,English
South Korea,KR,2026-01-11,Films,5,Beasts Clawing at Straws,,2,English
South Korea,KR,2026-01-11,Films,6,Murder Report,,5,English
South Korea,KR,2026-01-11,Films,7,Omniscient Reader: The Prophecy,,6,English
South Korea,KR,2026-01-11,Films,8,Bread Barbershop: The Bakerytown Baddies,,3,English
South Korea,KR,2026-01-11,Films,9,KPop Demon Hunters,,30,English
South Korea,KR,2026-01-11,Films,10,The Land of Morning Calm,,2,English
South Korea,KR,2026-01-11,TV,1,Culinary Class Wars,Culinary Class Wars: Season 2,4,English
South Korea,KR,2026-01-11,TV,2,Taxi Driver,Taxi Driver: Season 3,8,English
South Korea,KR,2026-01-11,TV,3,To My Beloved Thief,To My Beloved Thief: Season 1,1,English
South Korea,KR,2026-01-11,TV,4,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,1,English
South Korea,KR,2026-01-11,TV,5,Pro Bono,Pro Bono: Limited Series,5,English
South Korea,KR,2026-01-11,TV,6,Match To Marry: With Parents,Match To Marry: With Parents 2026,1,English
South Korea,KR,2026-01-11,TV,7,Cashero,Cashero: Limited Series,3,English
South Korea,KR,2026-01-11,TV,8,Love Me,Love Me: Season 1,4,English
South Korea,KR,2026-01-11,TV,9,No Mercy,No Mercy: Season 1,2,English
South Korea,KR,2026-01-11,TV,10,Idol I,Idol I: 시즌 1,3,English
South Korea,KR,2026-01-04,Films,1,The Great Flood,,3,English
South Korea,KR,2026-01-04,Films,2,Bread Barbershop: The Bakerytown Baddies,,2,English
South Korea,KR,2026-01-04,Films,3,The Land of Morning Calm,,1,English
South Korea,KR,2026-01-04,Films,4,Omniscient Reader: The Prophecy,,5,English
South Korea,KR,2026-01-04,Films,5,Murder Report,,4,English
South Korea,KR,2026-01-04,Films,6,Togo,,1,English
South Korea,KR,2026-01-04,Films,7,KPop Demon Hunters,,29,English
South Korea,KR,2026-01-04,Films,8,Wake Up Dead Man: A Knives Out Mystery,,4,English
South Korea,KR,2026-01-04,Films,9,Pretty Crazy,,6,English
South Korea,KR,2026-01-04,Films,10,Beasts Clawing at Straws,,1,English
South Korea,KR,2026-01-04,TV,1,Culinary Class Wars,Culinary Class Wars: Season 2,3,English
South Korea,KR,2026-01-04,TV,2,Cashero,Cashero: Limited Series,2,English
South Korea,KR,2026-01-04,TV,3,Taxi Driver,Taxi Driver: Season 3,7,English
South Korea,KR,2026-01-04,TV,4,No Mercy,No Mercy: Season 1,1,English
South Korea,KR,2026-01-04,TV,5,Pro Bono,Pro Bono: Limited Series,4,English
South Korea,KR,2026-01-04,TV,6,The Price of Confession,The Price of Confession: Season 1,5,English
South Korea,KR,2026-01-04,TV,7,Love Me,Love Me: Season 1,3,English
South Korea,KR,2026-01-04,TV,8,Idol I,Idol I: 시즌 1,2,English
South Korea,KR,2026-01-04,TV,9,Stranger Things,Stranger Things 5,3,English
South Korea,KR,2026-01-04,TV,10,Badly in Love,Badly in Love: Season 1,4,English
South Korea,KR,2025-12-28,Films,1,The Great Flood,,2,English
South Korea,KR,2025-12-28,Films,2,Murder Report,,3,English
South Korea,KR,2025-12-28,Films,3,Omniscient Reader: The Prophecy,,4,English
South Korea,KR,2025-12-28,Films,4,Bread Barbershop: The Bakerytown Baddies,,1,English
South Korea,KR,2025-12-28,Films,5,Wake Up Dead Man: A Knives Out Mystery,,3,English
South Korea,KR,2025-12-28,Films,6,Pretty Crazy,,5,English
South Korea,KR,2025-12-28,Films,7,KPop Demon Hunters,,28,English
South Korea,KR,2025-12-28,Films,8,Dr. Seuss' The Grinch,,1,English
South Korea,KR,2025-12-28,Films,9,Only God knows Everything,,3,English
South Korea,KR,2025-12-28,Films,10,Gatao: Big Brothers,,1,English
South Korea,KR,2025-12-28,TV,1,Culinary Class Wars,Culinary Class Wars: Season 2,2,English
South Korea,KR,2025-12-28,TV,2,Cashero,Cashero: Limited Series,1,English
South Korea,KR,2025-12-28,TV,3,Taxi Driver,Taxi Driver: Season 3,6,English
