country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,language,tmdb_id,tmdb_type,tmdb_title,genres,runtime_minutes,release_date,tmdb_rating,tmdb_vote_count,tmdb_popularity,original_language,production_countries,budget_usd,revenue_usd,top_cast,avg_cast_popularity,director,num_seasons,num_episodes,status,days_since_release,is_korean,season_number,is_sequel,competing_titles_this_week
South Korea,KR,2026-02-15,TV,7,Can This Love Be Translated?,Can This Love Be Translated?: Limited Series,5,English,229891.0,tv,Can This Love Be Translated?,Drama|Comedy,75.0,2026-01-16,8.6,75.0,19.5449,ko,KR,,,Go Youn-jung|Kim Seon-ho|Lee E-dam|Sota Fukushi|Choi Woo-sung,3.09,Hong Jeong-eun|Hong Mi-ran|Yoo Young-eun,1.0,12.0,Ended,30.0,1,1,0,20
South Korea,KR,2026-02-15,TV,8,To My Beloved Thief,To My Beloved Thief: Season 1,6,English,301886.0,tv,To My Beloved Thief,Sci-Fi & Fantasy|Comedy|Drama,,2026-01-03,9.6,5.0,8.6279,ko,KR,,,Hong Min-gi|Choi Won-young|Nam Ji-hyun|Ha Seok-jin|Moon Sang-min,1.76,,1.0,16.0,Returning Series,43.0,1,1,0,20
South Korea,KR,2026-02-15,TV,9,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,5,English,95479.0,tv,JUJUTSU KAISEN,Animation|Action & Adventure|Sci-Fi & Fantasy,24.0,2020-10-03,8.56,4197.0,185.2808,ja,JP,,,,0.0,,1.0,59.0,Returning Series,1961.0,0,3,1,20
South Korea,KR,2026-02-15,TV,10,The Korean Chef,The Korean Chef 2026,1,English,,,,,,,,,,,,,,,,,,,,,0,1,0,20
South Korea,KR,2026-02-08,Films,1,Even If This Love Disappears Tonight,,1,English,1466115.0,movie,Even If This Love Disappears Tonight,Romance|Drama,106.0,2025-12-24,8.074,68.0,23.0779,ko,KR,0.0,5516015.0,Choo Young-woo|Jin Ho-eun|Yun Ki-chang|Jang Yoo-sang|Cho Han-cheul,1.53,Kim Hye-young,,,Released,46.0,1,1,0,20
South Korea,KR,2026-02-08,Films,2,No Other Choice,,2,English,639988.0,movie,No Other Choice,Crime|Thriller|Comedy,139.0,2025-09-24,7.598,691.0,38.0304,ko,KR|FR,12200000.0,36314308.0,Park Hee-soon|Lee Byung-hun|Son Ye-jin|Yoo Yeon-seok|Kwon Hyuk,2.99,Park Chan-wook,,,Released,137.0,1,1,0,20
South Korea,KR,2026-02-08,Films,3,96 Minutes,,2,English,1271895.0,movie,96 Minutes,Action|Crime|Romance,117.0,2025-09-05,5.852,54.0,78.251,zh,TW,0.0,0.0,Frederick Lee|Wu Chien-Ho|Eleven Yao|Austin Lin|Kent Tsai Fan-Hsi,1.57,Tzu-Hsuan Hung,,,Released,156.0,0,1,0,20
South Korea,KR,2026-02-08,Films,4,Karate Kid: Legends,,2,English,1011477.0,movie,Karate Kid: Legends,Action|Adventure|Drama,94.0,2025-05-08,7.039,1104.0,12.3741,en,US,45000000.0,117105466.0,Jackie Chan|Ming-Na Wen|Joshua Jackson|William Zabka|Aramis Knight,7.1,Jonathan Entwistle,,,Released,276.0,0,1,0,20
South Korea,KR,2026-02-08,Films,5,Missing You,,4,English,390433.0,movie,Missing You,Crime|Thriller,108.0,2016-03-10,7.16,78.0,6.9126,ko,KR,0.0,0.0,Kim Won-hae|Shim Eun-kyung|Jung Hae-kyun|Lee Gap-seon|Jung Chan-hoon,1.38,Mo Hong-jin,,,Released,3622.0,1,1,0,20
South Korea,KR,2026-02-08,Films,6,The Rip,,4,English,1306368.0,movie,The Rip,Action|Thriller|Crime,113.0,2026-01-13,7.063,1202.0,78.6886,en,US,100000000.0,0.0,Ben Affleck|Matt Damon|Scott Adkins|Teyana Taylor|Sasha Calle,6.23,Joe Carnahan,,,Released,26.0,0,1,0,20
