tmdb_id,tmdb_type,tmdb_title,genres,runtime_minutes,release_date,tmdb_rating,tmdb_vote_count,tmdb_popularity,original_language,production_countries,budget_usd,revenue_usd,top_cast,avg_cast_popularity,director,num_seasons,num_episodes,status,show_title
1575337.0,movie,Cosmic Princess Kaguya!,Animation|Fantasy|Music|Science Fiction,141.0,2026-01-22,8.3,50.0,17.729,ja,JP,0.0,0.0,Yoshitsugu Matsuoka|Saori Hayami|Maaya Sakamoto|Kenichi Suzumura|Natsuki Hanae,3.43,Shingo Yamashita,,,Released,Cosmic Princess Kaguya!
,,,,,,,,,,,,,,,,,,,"uh, but like, seriously!"
270420.0,tv,No Tail to Tell,Sci-Fi & Fantasy|Comedy|Drama,60.0,2026-01-16,7.909,11.0,15.0649,ko,KR,,,Hong Soo-hyun|Lomon|Kim Hye-yoon|Lee Si-woo|Choi Seung-yoon,1.74,Kim Jeong-kwon,1.0,12.0,Returning Series,No Tail to Tell
91239.0,tv,Bridgerton,Drama,,2020-12-25,8.1,3148.0,114.7094,en,US,,,Claudia Jessie|Ruth Gemmell|Luke Thompson|Golda Rosheuvel|Yerin Ha,4.14,Chris Van Dusen,4.0,32.0,Returning Series,Bridgerton
73036.0,tv,Chef & My Fridge,Reality,90.0,2014-11-17,8.5,4.0,18.406,ko,KR,,,Kim Poong|Choi Hyun-seok|Yoon Nam-no|Edward Lee|Jung Ho-young,1.0,,2.0,313.0,Returning Series,Chef & My Fridge
762441.0,movie,A Quiet Place: Day One,Horror|Science Fiction|Thriller,100.0,2024-06-26,6.665,3187.0,9.3517,en,US,67000000.0,261907653.0,Joseph Quinn|Lupita Nyong'o|Djimon Hounsou|Alfie Todd|Eliane Umuhire,3.3,Michael Sarnoski,,,Released,A Quiet Place: Day One
701387.0,movie,Bugonia,Science Fiction|Thriller|Comedy,119.0,2025-10-23,7.363,1435.0,23.759,en,IE|KR|US|CA,50000000.0,40796580.0,Jesse Plemons|Emma Stone|Alicia Silverstone|Stavros Halkias|Marc T. Lewis,4.69,Yorgos Lanthimos,,,Released,Bugonia
312586.0,tv,The Risk Takers,Reality,,2026-01-28,0.0,0.0,0.9652,ko,KR,,,Park Sung-woong|Jang Dong-min|Hong Jin-ho|Pani Bottle|Kwon Seong-joon,1.02,,1.0,12.0,Returning Series,The Risk Takers
296009.0,tv,Positively Yours,Comedy|Family|Drama,,2026-01-17,9.0,3.0,10.1878,ko,KR,,,Kim Ki-doo|Choi Jin-hyuk|Hong Jong-hyun|Oh Yeon-seo|Son Byung-ho,1.57,,1.0,12.0,Returning Series,Positively Yours
,,,,,,,,,,,,,,,,,,,Match To Marry: With Parents
